Database ID,Sample ID,Ecosystem,Sample type,Common name,Scientific name,Bush food group,Wildlife group,Compartment,Composite count,Dry mass fraction,Sex,Mussel age (y),Soil depth (cm),Family code,Collection date (day/month/year),Location,Status,Easting,Northing,Zone,Datum,Geocoding,U-238,U-238err,U-234,U-234err,Th-230,Th-230err,Ra-226,Ra-226err,Pb-210,Pb-210err,Po-210,Po-210err,Th-232,Th-232err,Ra-228,Ra-228err,Th-228,Th-228err,Ac-227,Ac-227err,K-40,K-40err,Al,As,Ba,Ca,Cd,Co,Cr,Cu,Fe,Hg,K,Mg,Mn,Na,Ni,P,Pb,Rb,S,Sb,Se,Sr,Th,U,V,Zn,Reference,Notes
11,RM08025,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Kidney,1,,,,,BAND0001,10/01/2008,Gulungul Crossing - Arnhem Highway near Gulungul Creek crossing,Unperturbed,269978,8600130,53S,WGS84,1,4.5E-1,5.1E-2,4.6E-1,5.3E-2,3.8E-1,6.1E-2,5.9E-2,1.4E-2,4.4E+0,5.5E-1,4.1E+1,5.9E+0,1.5E-1,3.7E-2,,,,,,,,,<1.1E+1,<1.1E-1,4.9E-1,4.8E+2,<1.1E-2,,,1.4E+0,1.7E+1,,2.9E+3,1.3E+2,8.5E-1,,,,<4.2E-2,,2.0E+3,<1.1E-2,8.4E-1,1.1E+0,4.4E-2,2.1E-3,,1.1E+1,18,
12,RM08026,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Liver,1,,,,,BAND0001,10/01/2008,Gulungul Crossing - Arnhem Highway near Gulungul Creek crossing,Unperturbed,269978,8600130,53S,WGS84,1,5.2E-2,4.2E-2,<1.1E-1,,<1.0E-1,,1.0E-1,2.5E-2,1.9E+0,3.2E-1,4.3E+1,2.7E+0,5.8E-2,3.5E-2,,,,,,,,,2.9E+0,5.3E-2,2.1E-1,7.9E+1,5.9E-2,5.3E-2,4.8E-1,3.2E+0,1.6E+2,,2.3E+3,1.6E+2,4.4E+0,6.7E+2,,1.9E+3,5.3E-2,1.0E+1,8.7E+2,<1.3E-2,1.0E+0,1.7E-1,5.1E-2,2.1E-3,2.0E-1,2.9E+1,18,
13,RM08024,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Testicle,1,,M,,,BAND0001,10/01/2008,Gulungul Crossing - Arnhem Highway near Gulungul Creek crossing,Unperturbed,269978,8600130,53S,WGS84,1,2.8E-1,2.5E-2,2.8E-1,3.1E-2,4.8E-1,5.3E-2,4.3E+0,1.8E-1,1.3E+0,2.2E-1,1.2E+1,1.0E+0,3.1E-2,2.1E-2,,,,,,,,,3.1E+1,<1.0E-1,3.8E-1,7.8E+1,<1.0E-2,,,1.5E+0,5.7E+1,,3.1E+3,1.8E+2,8.4E-1,,,,8.2E-2,,1.9E+3,<1.0E-2,8.2E-1,1.3E-1,3.7E-2,7.8E-2,,4.0E+1,18,
14,RX06013,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Flesh,1,,,,,BAND0002,25/01/2006,Ranger mine site - Access road adjacent to Jabiru East land application area,Perturbed,272070,8598685,53S,WGS84,2,,,,,,,2.3E-1,1.7E-2,1.5E+0,1.7E-1,,,,,,,,,,,,,6.5E+0,<1.2E-2,9.7E-2,3.7E+2,<2.4E-3,<1.2E-2,3.9E-1,6.8E-1,1.6E+1,,1.6E+3,2.2E+2,1.1E-1,3.4E+2,,1.6E+3,2.2E-2,5.3E+0,1.6E+3,<1.2E-2,<1.2E-2,7.3E-2,7.3E-3,1.4E-2,<1.2E-2,8.7E+0,18,
15,RX06014,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Heart,1,,,,,BAND0002,25/01/2006,Ranger mine site - Access road adjacent to Jabiru East land application area,Perturbed,272070,8598685,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<1.1E+1,<1.1E-1,4.4E-2,5.1E+1,<1.1E-2,,,4.0E+0,<4.4E+0,,2.1E+3,1.7E+2,3.7E-1,,,,<4.4E-2,,2.1E+3,<1.1E-2,4.4E-1,3.3E-2,6.6E-3,8.8E-3,,1.5E+1,18,
16,RX06015,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Liver,1,,,,,BAND0002,25/01/2006,Ranger mine site - Access road adjacent to Jabiru East land application area,Perturbed,272070,8598685,53S,WGS84,2,,,,,,,6.1E-1,5.3E-2,1.6E+1,1.9E+0,,,,,,,,,,,,,8.0E+1,<1.3E-1,3.6E-1,1.5E+2,1.9E-1,,,3.6E+0,<5.3E+0,,1.9E+3,2.1E+2,2.8E+0,,,,2.1E-1,,2.1E+3,<1.3E-2,1.1E+0,1.1E-1,8.0E-3,5.9E-1,,2.1E+1,18,
17,DN14013,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Bone,1,5.3E-1,,,,BAND0003,09/04/2014,Eaton - Charles Eaton Drive,Unperturbed,703820,8628463,52S,WGS84,1,,,,,,,8.3E+0,4.9E-1,1.5E+1,2.1E+0,,,,,7.5E+0,9.3E-1,4.7E+0,4.2E-1,,,8.9E+1,6.5E+0,2.8E+1,<1.2E-1,3.1E+0,1.9E+4,<1.2E-2,<1.2E-2,3.6E+0,2.8E-1,3.3E+1,<1.2E-2,6.4E+2,3.2E+2,3.9E-1,4.6E+2,,9.3E+3,2.8E-1,3.5E+0,1.2E+2,<1.2E-2,<1.2E-1,1.3E+1,2.1E-2,4.7E-3,<2.4E+0,1.1E+1,18,
18,DN14015,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Carcass,1,3.1E-1,,,,BAND0003,09/04/2014,Eaton - Charles Eaton Drive,Unperturbed,703820,8628463,52S,WGS84,1,,,,,,,4.7E-1,3.5E-2,7.6E-1,1.7E-1,,,,,4.1E-1,7.2E-2,1.5E-1,2.9E-2,,,4.5E+1,1.4E+0,3.6E+1,<1.6E-2,1.5E+0,8.9E+3,8.0E-3,6.4E-3,<1.6E-1,5.4E-1,3.4E+1,<1.6E-3,1.2E+3,2.2E+2,2.8E-1,6.7E+2,,4.9E+3,1.2E-1,6.4E+0,9.3E+1,<1.6E-3,<1.6E-2,6.8E+0,4.5E-3,1.3E-3,<3.2E-1,1.0E+1,18,
19,DN14009,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Flesh,1,2.4E-1,,,,BAND0003,09/04/2014,Eaton - Charles Eaton Drive,Unperturbed,703820,8628463,52S,WGS84,1,,,,,,,2.5E-2,4.3E-3,2.4E-1,4.2E-2,1.2E+0,8.4E-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
20,DN14012,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Heart,1,2.5E-1,,,,BAND0003,09/04/2014,Eaton - Charles Eaton Drive,Unperturbed,703820,8628463,52S,WGS84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
21,DN14010,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Kidney,1,3.4E-1,,,,BAND0003,09/04/2014,Eaton - Charles Eaton Drive,Unperturbed,703820,8628463,52S,WGS84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
22,DN14011,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Liver,1,2.4E-1,,,,BAND0003,09/04/2014,Eaton - Charles Eaton Drive,Unperturbed,703820,8628463,52S,WGS84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
23,JE15006,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Bone,1,6.1E-1,,,,BAND0004,12/03/2015,Jabiru East - Opposite Jabiru Field Station,Unperturbed,271275,8599557,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,1.2E+1,<3.0E-1,7.5E+1,1.2E+5,<3.0E-2,<3.0E-2,<3.0E+0,6.1E-1,6.7E+1,<3.0E-2,1.8E+3,1.8E+3,1.8E+0,2.9E+3,,5.8E+4,1.8E+0,1.8E+1,1.2E+3,3.0E-2,9.1E-1,1.5E+2,<6.1E-3,7.9E-2,<6.1E+0,8.4E+1,18,
24,JE15008,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Carcass,1,2.6E-1,,,,BAND0004,12/03/2015,Jabiru East - Opposite Jabiru Field Station,Unperturbed,271275,8599557,53S,WGS84,2,,,,,,,2.9E+0,1.9E-1,1.7E+0,7.8E-1,,,,,4.5E-1,3.5E-1,5.3E-1,1.5E-1,,,8.4E+1,3.2E+0,6.0E+1,<5.0E-1,3.2E+1,5.5E+4,<5.0E-2,5.0E-2,<5.0E+0,3.2E+0,2.4E+2,1.0E-1,9.7E+3,1.4E+3,3.6E+0,4.2E+3,,3.1E+4,1.0E+0,9.1E+1,8.3E+3,<5.0E-2,3.5E+0,6.3E+1,<1.0E-2,3.0E-2,<1.0E+1,1.0E+2,18,
25,JE15007,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Flesh,1,2.2E-1,,,,BAND0004,12/03/2015,Jabiru East - Opposite Jabiru Field Station,Unperturbed,271275,8599557,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.2E+0,<1.1E-1,3.3E-2,6.6E+1,<1.1E-2,<1.1E-2,<1.1E+0,7.1E-1,1.5E+1,4.4E-2,4.0E+3,2.7E+2,1.9E-1,7.2E+2,,2.2E+3,<4.4E-2,3.2E+1,2.2E+3,<1.1E-2,6.6E-1,6.6E-2,<2.2E-3,<2.2E-3,<2.2E+0,1.7E+1,18,
26,JE15002,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Heart,1,2.2E-1,,,,BAND0004,12/03/2015,Jabiru East - Opposite Jabiru Field Station,Unperturbed,271275,8599557,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
27,JE15009,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Intestines including contents,1,2.2E-1,,,,BAND0004,12/03/2015,Jabiru East - Opposite Jabiru Field Station,Unperturbed,271275,8599557,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,1.5E+3,<5.0E-1,5.2E+1,2.2E+3,1.5E-1,1.3E+0,4.5E+1,9.6E+0,2.9E+3,1.0E-1,1.3E+4,1.1E+3,5.2E+1,4.5E+3,,5.8E+3,3.6E+0,1.3E+2,4.5E+3,<5.0E-2,4.5E+0,2.6E+1,2.8E-1,7.2E-1,3.0E+1,8.1E+1,18,
28,JE15003,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Kidney,1,1.9E-1,,,,BAND0004,12/03/2015,Jabiru East - Opposite Jabiru Field Station,Unperturbed,271275,8599557,53S,WGS84,2,,,,,,,,,2.4E+0,3.0E-1,3.2E+2,1.3E+1,,,,,,,,,,,2.8E+1,<9.4E-2,9.9E+0,9.6E+1,7.3E-1,6.6E-2,<9.4E-1,7.1E+0,9.8E+1,5.7E-2,2.5E+3,1.5E+2,4.5E+0,7.8E+2,,1.6E+3,2.6E-1,3.2E+1,1.3E+3,<9.4E-3,3.2E+0,4.7E-1,1.3E-2,3.4E-2,<1.9E+0,2.9E+1,18,
29,JE15005,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Liver,1,2.6E-1,,,,BAND0004,12/03/2015,Jabiru East - Opposite Jabiru Field Station,Unperturbed,271275,8599557,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,5.2E+0,<1.3E-1,4.6E-1,1.3E+2,1.2E-1,5.2E-2,<1.3E+0,4.9E+0,2.4E+2,3.9E-2,2.9E+3,2.1E+2,6.6E+0,1.4E+3,,2.4E+3,2.1E-1,3.3E+1,2.5E+3,<1.3E-2,2.7E+0,4.4E-1,<2.6E-3,<2.6E-3,<2.6E+0,4.0E+1,18,
30,JE15004,Terrestrial,Animal,Northern brown bandicoot,Isoodon macrourus,,Terrestrial-Mammal,Testicle,1,2.4E-1,,,,BAND0004,12/03/2015,Jabiru East - Opposite Jabiru Field Station,Unperturbed,271275,8599557,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,3.1E+1,<1.2E-1,2.5E+0,7.4E+1,<1.2E-2,1.2E-2,<1.2E+0,2.8E+0,3.6E+1,<1.2E-2,3.9E+3,2.1E+2,1.2E+0,1.9E+3,,2.3E+3,4.8E-2,4.1E+1,1.8E+3,<1.2E-2,1.2E+0,1.9E-1,<2.4E-3,2.4E-3,<2.4E+0,5.1E+1,18,
31,JT14001,Terrestrial,Animal,Fruit bat,Pteropus spp.,,Terrestrial-Mammal,Whole,1,3.5E-1,,,,BATX0001,05/07/2014,Jabiru - 22 Calvert Crescent,Unperturbed,265165,8598155,53S,WGS84,2,,,,,,,2.2E+0,1.3E-1,4.7E+0,6.2E-1,,,,,6.4E-1,2.4E-1,5.9E-1,1.0E-1,,,4.1E+1,2.4E+0,4.0E+0,<1.5E-2,4.1E-1,1.7E+3,3.0E-3,6.1E-3,1.5E-1,3.0E-1,1.0E+1,<1.5E-3,2.5E+2,4.9E+1,1.4E-1,2.2E+2,,1.1E+3,4.3E-2,1.1E+0,3.4E+1,<1.5E-3,<1.5E-2,1.1E+0,4.9E-3,3.4E-3,<3.0E-1,2.8E+0,18,
32,JT14002,Terrestrial,Animal,Fruit bat,Pteropus spp.,,Terrestrial-Mammal,Whole,1,3.7E-1,,,,BATX0002,05/07/2014,Jabiru - 22 Calvert Crescent,Unperturbed,265165,8598155,53S,WGS84,2,,,,,,,3.1E+0,2.1E-1,6.6E+0,9.6E-1,,,,,1.1E+0,4.0E-1,1.4E+0,1.7E-1,,,6.3E+1,3.7E+0,,,,,,,,,,,,,,,,,,,,,,,,,,,18,
33,XX12008,Terrestrial,Animal,Corella,Cacatua spp.,,Terrestrial-Bird,Whole,1,3.3E-1,,,,BIRD0001,07/05/2012,Mudginberri - Oenpelli Road approximately 6.5 km from Arnhem Highway junction,Unperturbed,266361,8606014,53S,WGS84,1,,,,,,,4.6E-1,4.0E-2,2.3E+0,2.5E-1,,,,,4.1E-1,8.7E-2,2.7E-1,3.2E-2,,,5.7E+1,1.7E+0,2.5E+0,<1.9E-1,2.9E-1,2.6E+3,<2.4E-2,<4.8E-2,4.2E-1,2.4E-1,1.2E+1,,3.2E+2,5.3E+1,1.9E-1,2.2E+2,,1.4E+3,2.5E-2,2.1E+0,3.1E+2,<3.4E-1,,3.7E+0,<9.6E-2,<9.6E-4,<4.8E-2,4.3E+0,18,
34,DN15008,Terrestrial,Animal,Rainbow lorikeet,Trichoglossus moluccanus,,Terrestrial-Bird,Whole,1,3.3E-1,,,,BIRD0002,31/07/2015,Millner - McMillans Road,Unperturbed,703110,8629032,52S,WGS84,1,,,,,,,2.8E-1,1.1E-2,,,,,,,,,,,,,,,6.6E+0,<1.7E-1,1.7E+0,1.3E+4,<1.7E-2,<1.7E-2,<1.7E+0,2.3E+0,1.1E+2,<1.7E-2,3.8E+3,4.4E+2,9.9E-1,1.4E+3,,8.6E+3,<6.6E-2,1.7E+1,2.6E+3,<1.7E-2,3.3E-1,1.6E+1,3.3E-2,<3.3E-3,<3.3E+0,2.8E+1,18,
35,DK7001/6,Terrestrial,Animal,Water buffalo,Bubalus bubalis,Buffalo,Terrestrial-Mammal,Flesh,1,2.3E-1,M,,,BUFF0001,29/07/1987,Magela Floodplain,Unperturbed,266390,8609120,53S,WGS84,2,,,,,,,,,,,2.7E-1,2.0E-2,2.0E-3,2.0E-3,,,,,,,,,1.5E+0,<2.3E-2,3.1E-2,<4.6E+1,<1.2E-3,,,1.1E+0,2.9E+1,,,1.9E+2,1.3E-1,4.3E+2,,2.0E+3,2.9E-2,,1.9E+3,<2.3E-2,1.4E-1,2.6E-2,<1.2E-2,<1.2E-3,,2.3E+1,"23, 24",Collected on the floodplain near Drum Creek.
36,DK7001/1,Terrestrial,Animal,Water buffalo,Bubalus bubalis,Buffalo,Terrestrial-Mammal,Heart,1,1.9E-1,M,,,BUFF0001,29/07/1987,Magela Floodplain,Unperturbed,266390,8609120,53S,WGS84,2,,,,,,,,,,,4.4E-1,3.0E-2,,,,,,,,,,,1.9E+0,<1.9E-2,3.0E-2,4.4E+1,<9.7E-4,,,2.3E+0,4.0E+1,,,1.8E+2,1.1E-1,6.3E+2,,1.8E+3,1.9E-2,,1.5E+3,<1.9E-2,2.6E-1,4.1E-2,<9.7E-3,<9.7E-4,,1.4E+1,"23, 24",Collected on the floodplain near Drum Creek.
37,DK7001/3,Terrestrial,Animal,Water buffalo,Bubalus bubalis,Buffalo,Terrestrial-Mammal,Intestine,1,2.4E-1,M,,,BUFF0001,29/07/1987,Magela Floodplain,Unperturbed,266390,8609120,53S,WGS84,2,,,,,4.0E-2,1.0E-2,,,,,1.1E+0,7.0E-2,5.0E-2,1.0E-2,,,,,,,,,5.6E+1,<2.4E-2,2.7E-1,7.7E+1,2.6E-3,,,8.4E-1,7.8E+1,,,9.4E+1,3.7E+0,1.1E+3,,1.6E+3,1.2E-1,,1.0E+3,<2.4E-2,1.5E-1,1.1E-1,1.8E-2,3.1E-3,,1.3E+1,"23, 24",Collected on the floodplain near Drum Creek.
38,DK7001/4,Terrestrial,Animal,Water buffalo,Bubalus bubalis,Buffalo,Terrestrial-Mammal,Kidney,1,2.2E-1,M,,,BUFF0001,29/07/1987,Magela Floodplain,Unperturbed,266390,8609120,53S,WGS84,2,,,,,1.1E-2,8.0E-3,,,,,3.1E+1,1.0E+0,7.0E-3,5.0E-3,,,,,,,,,1.6E+1,<2.2E-2,4.6E-1,1.2E+2,2.7E-1,,,2.5E+0,8.8E+1,,,1.2E+2,6.4E-1,1.9E+3,,2.4E+3,7.7E-2,,1.6E+3,<2.2E-2,9.2E-1,1.4E-1,1.2E-2,<1.1E-3,,1.7E+1,"23, 24",Collected on the floodplain near Drum Creek.
39,DK7001/5,Terrestrial,Animal,Water buffalo,Bubalus bubalis,Buffalo,Terrestrial-Mammal,Liver,1,3.0E-1,M,,,BUFF0001,29/07/1987,Magela Floodplain,Unperturbed,266390,8609120,53S,WGS84,2,,,,,,,,,,,5.5E+0,6.0E-1,1.2E-2,8.0E-3,,,,,,,,,5.3E+1,<3.0E-2,8.4E-2,6.7E+1,7.2E-2,,,6.3E+1,1.1E+2,,,1.6E+2,2.7E+0,9.0E+2,,4.0E+3,1.3E-1,,2.2E+3,<3.0E-2,5.3E-1,3.4E-2,<1.5E-2,<1.5E-3,,2.7E+1,"23, 24",Collected on the floodplain near Drum Creek.
40,DK7001/2,Terrestrial,Animal,Water buffalo,Bubalus bubalis,Buffalo,Terrestrial-Mammal,Stomach lining,1,2.0E-1,M,,,BUFF0001,29/07/1987,Magela Floodplain,Unperturbed,266390,8609120,53S,WGS84,2,,,,,,,,,,,3.6E-1,3.0E-2,1.3E-2,7.0E-3,,,,,,,,,4.0E+0,<2.0E-2,7.7E+0,1.1E+2,1.5E-3,,,9.4E-1,1.0E+2,,,1.0E+2,1.4E+1,1.1E+3,,9.0E+2,5.2E-2,,1.4E+3,<2.0E-2,1.8E-1,9.5E-1,<1.0E-2,<1.0E-3,,2.0E+1,"23, 24",Collected on the floodplain near Drum Creek.
41,DK7001/7,Terrestrial,Animal,Water buffalo,Bubalus bubalis,Buffalo,Terrestrial-Mammal,Tongue,1,3.0E-1,M,,,BUFF0001,29/07/1987,Magela Floodplain,Unperturbed,266390,8609120,53S,WGS84,2,,,,,1.1E-2,5.0E-3,,,,,2.7E-1,2.0E-2,,,,,,,,,,,2.6E+0,<3.0E-2,2.9E-1,1.3E+2,6.3E-3,,,1.5E+0,6.1E+1,,,2.2E+2,1.1E+1,1.6E+3,,2.4E+3,2.1E-1,,2.6E+3,<3.0E-2,2.6E-1,2.3E-1,<1.5E-2,<1.5E-3,,3.9E+1,"23, 24",Collected on the floodplain near Drum Creek.
42,GS7001/4,Terrestrial,Animal,Water buffalo,Bubalus bubalis,Buffalo,Terrestrial-Mammal,Flesh,1,2.5E-1,M,,,BUFF0002,05/06/1987,Magela Floodplain,Unperturbed,262300,8639400,53S,WGS84,2,1.3E-2,6.0E-3,2.0E-2,1.0E-2,,,2.0E-2,2.0E-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23, 24",Collected on the floodplain near gauging station GS019.
43,GS7001/1,Terrestrial,Animal,Water buffalo,Bubalus bubalis,Buffalo,Terrestrial-Mammal,Heart,1,2.3E-1,M,,,BUFF0002,05/06/1987,Magela Floodplain,Unperturbed,262300,8639400,53S,WGS84,2,6.0E-3,5.0E-3,,,,,9.0E-3,8.0E-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23, 24",Collected on the floodplain near gauging station GS019.
